session;session_start_text;session_end_text;clickouts;booking
20170503000068;23:14:27;23:19:28;3;0
20170503000069;06:46:57;06:49:45;3;0
20170503000070;09:26:43;09:30:22;2;1
20170503000071;04:04:35;04:10:02;3;0
20170503000072;05:34:21;05:38:09;3;0
20170503000073;01:24:34;01:28:25;3;0
20170503000074;21:11:09;21:13:16;3;0
20170503000075;01:14:09;01:18:41;2;0
20170503000076;18:50:10;18:53:33;3;0
20170503000077;14:46:50;14:50:36;3;0
20170503000078;23:15:21;23:18:10;2;0
20170503000079;17:00:56;17:04:21;2;0
20170503000080;23:06:54;23:10:07;2;0
20170503000081;13:36:33;13:40:14;5;0
20170503000082;20:55:02;20:58:20;4;0
20170503000083;05:26:58;05:30:52;1;0
20170503000084;04:08:52;04:10:52;2;1
20170503000085;13:33:30;13:38:47;4;0
20170503000086;11:38:48;11:42:18;1;0
20170503000087;22:57:43;23:00:21;2;0
20170503000088;08:47:00;08:50:30;1;0
20170503000089;09:09:41;09:13:03;3;0
20170503000090;02:45:15;02:48:49;3;0
20170503000091;07:27:05;07:30:23;3;0
20170503000092;19:39:29;19:42:54;3;0
20170503000093;14:50:55;14:54:36;4;0
20170503000094;09:13:33;09:15:25;1;0
20170503000095;05:19:56;05:22:18;2;0
20170503000096;22:16:47;22:21:14;1;0
20170503000097;15:22:49;15:25:28;4;0
20170503000098;08:47:28;08:52:03;0;1
20170503000099;08:32:10;08:34:29;3;0
20170503000100;00:00:02;00:02:12;2;0
20170503000101;03:55:11;03:59:28;0;1
20170503000102;13:14:27;13:17:56;1;0
20170503000103;17:16:07;17:19:08;2;1
20170503000104;21:44:41;21:47:25;2;0
20170503000105;18:35:52;18:39:34;3;0
20170503000106;16:07:00;16:09:36;2;0
20170503000107;04:54:52;04:57:34;2;0
20170503000108;02:48:21;02:51:06;3;0
20170503000109;10:42:31;10:45:05;2;0
20170503000110;09:25:15;09:27:26;3;0
20170503000111;04:59:39;05:03:59;2;0
20170503000112;00:00:45;00:04:19;2;1
20170503000113;19:51:15;19:53:44;1;0
20170503000114;23:47:06;23:52:07;2;0
20170503000115;16:55:07;16:57:55;3;1
20170503000116;14:50:31;14:52:56;2;0
20170503000117;21:14:09;21:18:04;2;0
20170503000118;17:48:05;17:50:46;2;1
20170503000119;11:51:04;11:52:55;0;0
20170503000120;20:44:54;20:47:21;2;0
20170503000121;22:10:47;22:15:46;3;0
20170503000122;13:10:52;13:11:50;1;0
20170503000123;11:31:55;11:33:21;4;0
20170503000124;22:48:42;22:52:09;2;1
20170503000125;21:31:56;21:34:15;2;0
20170503000126;20:34:01;20:38:00;2;0
20170503000127;10:17:52;10:20:06;3;0
20170503000128;13:09:22;13:14:07;2;1
20170503000129;05:59:24;06:01:40;1;0
20170503000130;20:44:11;20:45:56;3;0
20170503000131;14:06:33;14:10:50;3;0
20170503000132;10:53:15;10:55:07;3;0
20170503000133;15:15:57;15:17:38;3;0
20170503000134;06:59:37;07:02:23;2;0
20170503000135;07:37:55;07:40:52;3;0
20170503000136;17:48:51;17:50:39;2;0
20170503000137;11:29:01;11:32:04;4;0
20170503000138;14:43:00;14:46:27;1;0
20170503000139;21:35:32;21:37:53;4;0
20170503000140;15:31:18;15:34:42;3;0
20170503000141;23:01:56;23:04:46;2;0
20170503000142;10:39:14;10:43:37;3;0
20170503000143;16:58:10;16:59:34;2;0
20170503000144;20:54:29;20:56:34;3;0
20170503000145;10:21:20;10:24:58;3;0
20170503000146;11:19:34;11:25:00;4;0
20170503000147;03:38:03;03:41:26;3;0
20170503000148;18:42:35;18:44:04;1;0
20170503000149;17:26:56;17:30:00;1;0
20170503000150;08:19:13;08:23:49;5;1
20170503000151;06:31:14;06:34:17;1;0
20170503000152;20:40:03;20:43:39;3;0
20170503000153;10:31:53;10:34:20;2;0
20170503000154;19:13:09;19:16:47;2;1
20170503000155;10:31:44;10:33:38;4;0
20170503000156;17:17:29;17:19:42;1;0
20170503000157;02:48:17;02:52:05;2;1
20170503000158;00:06:46;00:09:23;3;0
20170503000159;12:21:53;12:25:15;1;0
20170503000160;22:35:40;22:39:16;3;0
20170503000161;02:33:00;02:36:37;4;0
20170503000162;04:19:24;04:22:35;3;0
20170503000163;18:16:39;18:21:43;3;0
20170503000164;21:42:04;21:46:37;4;0
20170503000165;20:15:41;20:17:52;3;0
20170503000166;11:18:55;11:22:37;2;1
20170503000167;04:19:00;04:23:01;3;0
20170503000168;00:44:48;00:48:23;3;0
20170503000169;15:48:22;15:49:39;3;0
20170503000170;03:22:15;03:25:41;0;0
20170503000171;05:27:08;05:30:25;3;0
20170503000172;13:23:00;13:25:33;2;0
20170503000173;12:00:37;12:04:30;1;0
20170503000174;02:16:29;02:19:42;2;0
20170503000175;13:56:58;14:00:10;4;0
20170503000176;23:08:31;23:08:40;2;0
20170503000177;02:02:10;02:06:11;2;0
20170503000178;14:03:57;14:06:50;2;0
20170503000179;10:44:31;10:46:47;4;0
20170503000180;14:59:53;15:01:55;2;0
20170503000181;05:41:43;05:44:19;3;1
20170503000182;14:58:02;15:02:19;3;0
20170503000183;19:45:55;19:49:31;3;0
20170503000184;04:43:11;04:46:40;1;0
20170503000185;07:18:55;07:22:50;3;1
20170503000186;01:27:36;01:30:07;4;0
20170503000187;07:12:48;07:15:44;0;0
20170503000188;02:27:57;02:29:57;1;0
20170503000189;11:34:52;11:36:03;3;0
20170503000190;13:45:50;13:48:57;2;0
20170503000191;19:00:41;19:03:09;2;0
20170503000192;22:43:34;22:47:16;1;0
20170503000193;22:55:56;22:59:46;2;0
20170503000194;04:39:24;04:42:24;2;0
20170503000195;02:00:41;02:03:59;2;0
20170503000196;00:02:21;00:05:49;2;0
20170503000197;22:35:51;22:36:19;2;0
20170503000198;23:02:55;23:05:19;2;0
20170503000199;09:29:54;09:32:03;3;1
20170503000200;12:18:30;12:22:10;2;0
20170503000201;11:14:30;11:17:29;2;0
20170503000202;04:50:35;04:54:30;3;0
20170503000203;20:56:28;20:57:58;2;1
20170503000204;15:00:48;15:03:50;3;0
20170503000205;08:07:24;08:10:06;2;1
20170503000206;03:04:13;03:05:58;2;0
20170503000207;21:26:57;21:29:22;4;0
20170503000208;12:08:44;12:10:43;3;0
20170503000209;03:36:37;03:40:20;2;0
20170503000210;10:31:59;10:35:12;3;0
20170503000211;11:47:30;11:49:57;4;0
20170503000212;19:59:44;20:02:30;3;0
20170503000213;11:44:18;11:46:44;3;0
20170503000214;11:13:01;11:15:37;1;0
20170503000215;14:02:36;14:04:00;2;0
20170503000216;17:17:35;17:21:22;2;0
20170503000217;16:11:45;16:13:08;2;0
20170503000218;07:24:16;07:26:53;3;0
20170503000219;06:42:54;06:46:36;2;0
20170503000220;18:49:47;18:52:13;2;0
20170503000221;14:27:00;14:30:13;1;0
20170503000222;04:55:42;04:57:40;4;0
20170503000223;01:50:16;01:53:47;2;1
20170503000224;08:23:05;08:27:29;1;0
20170503000225;23:05:30;23:08:56;3;0
20170503000226;02:14:45;02:18:27;3;0
20170503000227;06:40:03;06:44:43;2;0
20170503000228;09:50:11;09:52:24;2;0
20170503000229;03:04:54;03:08:07;3;0
20170503000230;21:00:27;21:04:02;2;0
20170503000231;07:10:03;07:16:02;3;0
20170503000232;14:39:14;14:42:13;3;0
20170503000233;05:11:46;05:16:11;3;0
20170503000234;22:49:12;22:51:10;4;0
20170503000235;04:00:43;04:04:20;2;0
20170503000236;08:19:07;08:22:11;3;0
20170503000237;13:41:20;13:44:53;1;0
20170503000238;01:52:47;01:56:32;2;0
20170503000239;22:49:39;22:52:17;3;0
20170503000240;06:52:38;06:53:19;2;0
20170503000241;13:09:03;13:12:43;2;1
20170503000242;21:25:52;21:28:33;2;0
20170503000243;17:19:33;17:23:26;2;0
20170503000244;15:09:44;15:13:58;2;0
20170503000245;23:53:44;23:58:10;3;0
20170503000246;14:10:15;14:12:12;1;0
20170503000247;19:52:00;19:55:11;1;0
20170503000248;16:29:53;16:34:04;3;0
20170503000249;13:17:10;13:20:19;3;0
20170503000250;09:36:47;09:38:17;3;0
20170503000251;19:15:47;19:16:19;3;0
20170503000252;16:42:50;16:44:25;2;0
20170503000253;19:59:31;20:02:56;3;0
20170503000254;16:41:34;16:45:43;1;0
20170503000255;03:06:33;03:08:02;3;0
20170503000256;01:29:34;01:32:23;1;0
20170503000257;09:31:02;09:33:22;3;0
20170503000258;10:15:30;10:21:21;3;0
20170503000259;05:53:18;05:56:04;2;0
20170503000260;01:43:19;01:45:03;2;0
20170503000261;20:30:54;20:34:03;2;0
20170503000262;22:41:14;22:44:51;1;0
20170503000263;02:01:29;02:04:44;4;0
20170503000264;03:18:16;03:21:25;3;0
20170503000265;20:00:41;20:03:49;2;0
20170503000266;13:04:18;13:06:04;2;0
20170503000267;22:44:37;22:48:06;2;0
20170503000268;01:00:04;01:03:45;2;0
20170503000269;03:51:39;03:53:52;2;0
20170503000270;23:06:07;23:09:40;4;0
20170503000271;17:35:39;17:38:28;3;0
20170503000272;19:46:18;19:49:17;2;0
20170503000273;07:04:00;07:07:40;4;0
20170503000274;12:47:58;12:52:55;2;0
20170503000275;18:39:23;18:41:39;1;0
20170503000276;05:02:57;05:06:43;4;0
20170503000277;08:26:36;08:30:03;2;0
20170503000278;13:48:10;13:52:07;2;0
20170503000279;22:22:52;22:26:42;2;0
20170503000280;13:55:12;13:56:59;2;0
20170503000281;15:07:39;15:12:10;3;0
20170503000282;05:00:30;05:02:52;2;0
20170503000283;11:41:35;11:43:33;3;0
20170503000284;02:33:03;02:34:53;2;0
20170503000285;22:37:33;22:42:02;3;0
20170503000286;05:18:24;05:18:47;1;0
20170503000287;13:03:17;13:04:30;2;0
20170503000288;04:28:50;04:31:57;3;0
20170503000289;08:42:37;08:45:27;3;0
20170503000290;05:17:36;05:19:42;3;0
20170503000291;04:01:30;04:05:15;1;0
20170503000292;17:29:33;17:33:06;4;0
20170503000293;11:33:17;11:36:26;3;0
20170503000294;18:34:46;18:35:36;2;0
20170503000295;20:19:37;20:24:05;2;0
20170503000296;00:06:33;00:09:26;1;0
20170503000297;01:33:49;01:37:05;1;0
20170503000298;08:08:25;08:10:20;5;0
20170503000299;05:08:02;05:11:35;2;1
20170503000300;04:05:27;04:08:23;3;0
20170503000301;08:17:41;08:19:21;3;0
20170503000302;18:40:09;18:44:19;3;0
20170503000303;18:17:28;18:20:32;3;0
20170503000304;01:16:54;01:20:13;1;0
20170503000305;04:32:29;04:36:27;2;0
20170503000306;10:28:27;10:30:20;3;0
20170503000307;10:22:00;10:26:59;1;0
20170503000308;16:42:09;16:45:30;4;0
20170503000309;15:58:10;16:00:04;2;0
20170503000310;16:43:35;16:47:42;2;1
20170503000311;01:11:17;01:13:49;3;0
20170503000312;19:25:28;19:27:11;1;0
20170503000313;02:20:37;02:22:23;1;0
20170503000314;12:42:17;12:43:46;3;0
20170503000315;05:13:20;05:16:01;4;0
20170503000316;01:35:10;01:38:58;2;0
20170503000317;03:28:58;03:32:56;3;0
20170503000318;09:45:53;09:48:23;3;0
20170503000319;17:08:59;17:13:06;3;0
20170503000320;04:44:09;04:48:53;2;0
20170503000321;13:20:15;13:23:09;1;0
20170503000322;20:57:35;20:59:10;4;0
20170503000323;12:57:58;13:01:57;1;0
20170503000324;11:50:03;11:54:04;2;0
20170503000325;11:27:34;11:30:37;3;0
20170503000326;00:00:56;00:02:08;4;0
20170503000327;21:00:56;21:03:28;2;0
20170503000328;05:28:17;05:30:27;2;0
20170503000329;18:56:58;18:59:45;1;0
20170503000330;20:42:22;20:45:28;3;0
20170503000331;14:14:39;14:17:46;2;0
20170503000332;05:57:13;06:00:28;3;0
20170503000333;18:21:09;18:23:44;4;0
20170503000334;01:47:57;01:49:33;3;0
20170503000335;07:50:20;07:52:21;1;0
20170503000336;06:18:54;06:21:45;3;0
20170503000337;05:02:14;05:04:08;3;0
20170503000338;00:43:04;00:45:05;2;0
20170503000339;06:05:51;06:08:56;0;1
20170503000340;04:34:15;04:36:43;1;0
20170503000341;13:58:47;14:03:15;4;0
20170503000342;16:43:25;16:45:32;3;1
20170503000343;09:35:11;09:38:56;4;0
20170503000344;12:45:47;12:48:21;3;0
20170503000345;11:53:16;11:54:52;2;0
20170503000346;12:33:42;12:35:41;3;0
20170503000347;04:47:51;04:51:29;1;0
20170503000348;06:18:28;06:22:42;2;1
20170503000349;17:57:28;17:59:18;1;0
20170503000350;22:22:03;22:24:21;3;0
20170503000351;15:29:48;15:31:59;4;1
20170503000352;14:57:11;15:00:47;4;0
20170503000353;21:39:41;21:42:35;2;0
20170503000354;07:34:16;07:38:00;1;1
20170503000355;13:27:09;13:31:34;2;1
20170503000356;12:28:25;12:30:56;3;0
20170503000357;09:12:04;09:15:29;3;0
20170503000358;17:59:05;18:01:50;3;0
20170503000359;11:23:04;11:26:23;2;0
20170503000360;09:50:17;09:53:12;1;0
20170503000361;09:25:48;09:27:52;3;0
20170503000362;17:03:59;17:09:02;1;0
20170503000363;10:48:37;10:50:50;2;0
20170503000364;02:02:27;02:06:18;1;0
20170503000365;18:15:33;18:19:00;2;0
20170503000366;14:27:10;14:30:29;1;0
20170503000367;00:13:04;00:15:35;2;0
20170503000368;20:50:43;20:54:02;4;0
20170503000369;15:57:14;16:00:59;3;0
20170503000370;08:42:08;08:44:16;4;0
20170503000371;22:56:26;22:58:37;1;1
20170503000372;11:49:50;11:51:58;2;0
20170503000373;12:50:42;12:54:50;2;0
20170503000374;23:11:09;23:12:49;1;0
20170503000375;02:31:52;02:33:39;2;0
20170503000376;02:35:22;02:38:36;1;1
20170503000377;06:03:46;06:06:10;3;0
20170503000378;13:12:35;13:15:21;2;0
20170503000379;06:41:49;06:45:00;2;1
20170503000380;01:10:06;01:12:20;3;0
20170503000381;06:11:20;06:14:28;2;0
20170503000382;00:18:14;00:21:05;4;1
20170503000383;10:57:45;11:00:19;3;1
20170503000384;20:31:16;20:32:59;1;0
20170503000385;22:37:41;22:39:12;1;0
20170503000386;05:36:30;05:40:08;2;0
20170503000387;07:20:54;07:24:33;3;0
20170503000388;17:28:54;17:32:43;3;0
20170503000389;02:06:17;02:10:38;2;0
20170503000390;15:04:36;15:08:01;3;0
20170503000391;21:50:59;21:56:17;2;0
20170503000392;09:19:30;09:21:56;2;0
20170503000393;07:10:58;07:13:32;3;0
20170503000394;21:29:20;21:32:20;3;0
20170503000395;08:38:18;08:41:36;3;0
20170503000396;08:04:53;08:07:52;3;0
20170503000397;05:31:51;05:36:35;1;0
20170503000398;01:54:17;01:57:29;2;1
20170503000399;07:39:53;07:42:27;0;0
20170503000400;17:41:46;17:44:43;3;0
20170503000401;02:57:47;03:00:41;3;0
20170503000402;06:00:07;06:03:29;2;0
20170503000403;00:18:57;00:22:56;0;0
20170503000404;17:01:51;17:03:43;3;0
20170503000405;23:40:13;23:43:48;0;0
20170503000406;17:38:15;17:40:48;3;1
20170503000407;12:44:41;12:50:26;3;0
20170503000408;17:54:21;17:57:41;1;0
20170503000409;12:34:09;12:36:38;1;0
20170503000410;03:21:35;03:25:22;4;0
20170503000411;08:47:29;08:52:16;2;0
20170503000412;22:04:21;22:07:09;4;0
20170503000413;07:50:57;07:53:46;3;1
20170503000414;15:45:52;15:50:23;4;0
20170503000415;00:18:00;00:21:11;3;0
20170503000416;13:34:15;13:36:42;3;0
20170503000417;17:14:37;17:17:12;3;0
20170503000418;21:30:29;21:34:12;2;0
20170503000419;20:00:32;20:04:35;2;0
20170503000420;00:56:05;00:59:50;3;0
20170503000421;12:16:00;12:19:38;4;0
20170503000422;21:53:42;21:56:22;1;0
20170503000423;20:09:18;20:11:36;4;0
20170503000424;09:15:43;09:17:39;3;0
20170503000425;01:15:18;01:19:36;3;0
20170503000426;03:04:06;03:07:51;2;0
20170503000427;13:17:00;13:18:45;2;0
20170503000428;14:45:44;14:48:25;2;0
20170503000429;08:20:40;08:23:15;0;0
20170503000430;13:26:07;13:29:48;2;0
20170503000431;11:48:45;11:52:23;4;0
20170503000432;15:16:50;15:19:58;4;0
20170503000433;15:56:38;16:00:16;2;0
20170503000434;13:42:27;13:46:53;4;0
20170503000435;12:58:12;13:02:02;5;1
20170503000436;19:54:29;19:58:16;3;0
20170503000437;13:57:24;13:59:28;1;0
20170503000438;05:43:45;05:45:38;3;0
20170503000439;03:07:04;03:09:35;4;0
20170503000440;02:21:40;02:23:38;1;0
20170503000441;15:12:19;15:15:14;2;0
20170503000442;18:10:05;18:12:27;3;0
20170503000443;01:35:58;01:39:06;5;0
20170503000444;07:54:50;07:57:11;2;0
20170503000445;02:53:08;02:56:25;2;0
20170503000446;08:15:23;08:18:46;3;0
20170503000447;04:50:00;04:53:07;4;0
20170503000448;01:52:17;01:53:44;4;0
20170503000449;23:12:04;23:13:59;2;0
20170503000450;22:14:02;22:16:00;3;0
20170503000451;09:39:05;09:42:04;1;1
20170503000452;04:04:15;04:07:24;2;0
20170503000453;09:28:42;09:32:26;3;1
20170503000454;00:04:01;00:06:33;2;0
20170503000455;06:40:37;06:43:31;5;0
20170503000456;10:57:52;10:59:38;1;0
20170503000457;04:51:01;04:54:12;2;0
20170503000458;09:27:54;09:30:20;3;0
20170503000459;15:29:41;15:32:54;2;0
20170503000460;07:19:45;07:20:49;2;0
20170503000461;15:38:18;15:41:47;3;0
20170503000462;03:04:39;03:07:15;2;0
20170503000463;15:59:55;16:03:50;4;0
20170503000464;18:04:21;18:08:06;1;0
20170503000465;23:47:20;23:50:28;2;0
20170503000466;12:45:54;12:48:29;3;0
20170503000467;16:37:54;16:39:29;3;0
20170503000468;03:07:30;03:10:45;5;0
20170503000469;18:00:07;18:02:47;2;0
20170503000470;21:46:45;21:50:36;2;0
20170503000471;05:59:54;06:02:43;3;0
20170503000472;05:28:02;05:31:02;3;1
20170503000473;12:23:49;12:26:01;1;0
20170503000474;00:20:46;00:25:47;2;0
20170503000475;03:38:16;03:43:29;3;0
20170503000476;04:19:41;04:22:08;4;1
20170503000477;06:50:20;06:52:43;1;1
20170503000478;05:18:00;05:19:47;2;0
20170503000479;00:04:28;00:08:10;3;0
20170503000480;17:08:21;17:10:58;3;0
20170503000481;23:16:04;23:17:58;3;0
20170503000482;00:58:56;01:01:40;2;0
20170503000483;07:40:56;07:45:30;2;0
20170503000484;18:23:06;18:26:59;2;1
20170503000485;21:30:31;21:34:24;2;0
20170503000486;11:52:43;11:55:15;2;0
20170503000487;07:03:09;07:04:26;3;0
20170503000488;19:50:02;19:54:44;4;1
20170503000489;23:53:16;23:57:08;4;1
20170503000490;15:10:44;15:13:04;2;0
20170503000491;11:07:52;11:10:54;2;0
20170503000492;04:56:50;05:00:01;2;0
20170503000493;16:38:41;16:41:30;2;0
20170503000494;13:09:11;13:12:17;1;0
20170503000495;03:08:46;03:11:25;1;0
20170503000496;13:14:43;13:17:56;3;0
20170503000497;08:26:56;08:28:33;1;0
20170503000498;03:50:37;03:52:50;2;0
20170503000499;18:32:52;18:36:51;3;0
20170503000500;16:30:13;16:33:38;3;1
20170503000501;15:01:42;15:03:41;4;0
20170503000502;06:57:03;07:00:21;3;0
20170503000503;15:42:51;15:44:14;3;0
20170503000504;14:47:09;14:51:59;4;0
20170503000505;17:01:07;17:04:01;4;0
20170503000506;08:20:18;08:23:20;4;0
20170503000507;20:20:02;20:24:20;3;0
20170503000508;13:36:20;13:39:17;2;0
20170503000509;08:02:56;08:06:10;2;0
20170503000510;18:25:21;18:27:29;3;0
20170503000511;11:08:27;11:11:27;2;0
20170503000512;01:12:36;01:16:50;2;1
20170503000513;14:49:25;14:53:25;1;1
20170503000514;03:43:57;03:46:56;1;0
20170503000515;08:37:51;08:40:32;2;0
20170503000516;07:12:47;07:15:28;2;0
20170503000517;01:30:31;01:34:25;4;1
20170503000518;22:34:45;22:37:27;2;0
20170503000519;22:02:21;22:05:18;3;0
20170503000520;19:15:04;19:20:13;5;0
20170503000521;04:29:00;04:30:35;3;1
20170503000522;08:17:50;08:22:13;2;0
20170503000523;17:09:26;17:11:27;3;0
20170503000524;01:34:51;01:36:48;3;0
20170503000525;16:47:14;16:49:54;2;1
20170503000526;14:40:06;14:42:24;2;0
20170503000527;14:39:52;14:44:03;1;0
20170503000528;14:33:06;14:36:54;1;0
20170503000529;16:23:37;16:27:34;3;0
20170503000530;09:29:37;09:32:49;2;0
20170503000531;07:20:16;07:23:30;2;1
20170503000532;01:58:22;02:00:45;2;0
20170503000533;01:23:52;01:26:12;2;0
20170503000534;23:01:23;23:05:05;2;0
20170503000535;02:28:43;02:32:47;3;0
20170503000536;19:21:46;19:25:09;2;0
20170503000537;09:11:54;09:13:25;4;0
20170503000538;01:57:41;02:02:36;2;0
20170503000539;12:54:07;12:57:31;3;1
20170503000540;15:28:01;15:30:42;3;0
20170503000541;03:25:18;03:26:31;3;0
20170503000542;07:51:29;07:53:52;2;1
20170503000543;08:35:00;08:40:03;2;0
20170503000544;14:37:34;14:39:28;3;0
20170503000545;16:45:37;16:47:49;1;1
20170503000546;00:20:35;00:23:28;2;0
20170503000547;10:35:17;10:40:22;5;0
20170503000548;08:00:06;08:02:23;1;0
20170503000549;17:18:17;17:18:51;3;0
20170503000550;03:24:08;03:25:40;3;0
20170503000551;08:44:31;08:47:39;3;0
20170503000552;17:57:04;18:00:25;3;0
20170503000553;20:41:09;20:43:16;2;0
20170503000554;22:32:37;22:35:59;2;0
20170503000555;11:50:38;11:53:10;1;0
20170503000556;17:01:08;17:01:35;1;0
20170503000557;01:55:08;01:59:02;3;0
20170503000558;17:32:56;17:36:13;0;0
20170503000559;13:05:02;13:07:22;3;1
20170503000560;09:39:18;09:41:46;3;0
20170503000561;10:03:42;10:06:53;1;0
20170503000562;10:32:09;10:36:11;2;0
20170503000563;14:21:09;14:24:20;3;0
20170503000564;02:00:16;02:03:09;2;0
20170503000565;11:22:44;11:26:26;4;0
20170503000566;10:06:57;10:09:42;2;0
20170503000567;18:00:06;18:04:37;4;0
20170503000568;06:17:57;06:21:39;2;0
20170503000569;21:58:43;22:02:07;2;0
20170503000570;18:20:49;18:24:16;3;0
20170503000571;11:32:00;11:34:25;2;0
20170503000572;01:41:25;01:43:29;1;0
20170503000573;09:44:48;09:48:01;6;0
20170503000574;15:49:27;15:52:21;2;0
20170503000575;00:52:21;00:54:36;2;0
20170503000576;08:37:53;08:38:29;2;0
20170503000577;10:05:55;10:09:47;2;0
20170503000578;16:50:20;16:52:42;4;1
20170503000579;20:05:00;20:06:19;3;0
20170503000580;22:05:09;22:07:10;3;0
20170503000581;06:35:39;06:40:24;5;0
20170503000582;04:00:10;04:02:39;1;0
20170503000583;19:02:02;19:06:04;2;0
20170503000584;12:48:52;12:52:41;2;0
20170503000585;16:27:37;16:30:27;1;0
20170503000586;06:21:34;06:23:36;3;0
20170503000587;14:57:39;14:59:39;1;0
20170503000588;16:22:49;16:26:06;1;0
20170503000589;15:36:43;15:38:47;5;0
20170503000590;05:36:17;05:39:20;4;0
20170503000591;03:25:53;03:29:32;2;0
20170503000592;23:41:46;23:44:44;2;0
20170503000593;10:32:31;10:36:33;4;0
20170503000594;07:42:56;07:42:56;0;1
20170503000595;00:21:09;00:24:35;2;0
20170503000596;04:29:51;04:31:10;3;0
20170503000597;06:28:34;06:31:43;1;0
20170503000598;09:59:20;10:01:16;3;0
20170503000599;08:29:34;08:31:20;4;0
20170503000600;10:11:29;10:13:33;2;0
20170503000601;00:42:20;00:44:09;2;0
20170503000602;14:11:30;14:14:39;4;0
20170503000603;22:49:49;22:54:29;3;0
20170503000604;16:18:12;16:20:06;2;0
20170503000605;05:48:13;05:50:53;1;0
20170503000606;22:46:52;22:49:41;3;0
20170503000607;20:49:42;20:53:06;1;0
20170503000608;14:08:38;14:11:30;2;0
20170503000609;16:39:37;16:42:29;3;0
20170503000610;07:35:29;07:37:31;4;0
20170503000611;04:26:11;04:29:46;4;0
20170503000612;03:57:19;04:01:01;2;0
20170503000613;10:00:29;10:03:41;3;0
20170503000614;04:08:45;04:13:32;2;0
20170503000615;06:34:59;06:36:58;2;0
20170503000616;19:55:51;19:59:50;3;0
20170503000617;08:22:59;08:28:13;3;0
20170503000618;20:04:36;20:07:01;1;0
20170503000619;19:16:08;19:17:03;3;0
20170503000620;22:49:33;22:51:00;1;0
20170503000621;10:29:52;10:34:06;3;0
20170503000622;09:28:21;09:29:44;4;0
20170503000623;08:28:15;08:29:17;3;0
20170503000624;18:02:16;18:04:45;3;1
20170503000625;00:00:06;00:03:50;3;0
20170503000626;00:20:39;00:24:00;3;0
20170503000627;18:12:23;18:17:06;2;0
20170503000628;01:06:04;01:08:28;2;0
20170503000629;08:12:45;08:15:45;2;0
20170503000630;10:14:27;10:18:30;4;0
20170503000631;05:01:34;05:02:57;1;0
20170503000632;17:16:34;17:21:29;3;0
20170503000633;16:38:14;16:41:19;2;0
20170503000634;02:30:00;02:32:39;2;0
